Place,latitude,longitude,name,desc
Diomede Island,65.7823,-168.9761,Diomede Island,Diomede Islands
Diomede Islands,65.7823,-168.9761,Diomede Islands,Diomede Islands
Diomedes,26.0402462,-98.3002749,Diomedes,Diomedes Jacinto López III 88757 Reynosa Tamps. Mexico
Diomedes Island,65.7823,-168.9761,Diomedes Island,Diomede Islands
Diomedes Islands,65.7823,-168.9761,Diomedes Islands,Diomede Islands
Dominica,15.414999,-61.370976,Dominica,Dominica
Doubtful Island Bay,-34.3750972,119.6071724,Doubtful Island Bay,Doubtful Islands Western Australia Australia
Drummond Island,46.0200211,-83.7311138,Drummond Island,Drummond MI 49726 USA
Drummonds Islan,46.0200211,-83.7311138,Drummonds Islan,Drummond MI 49726 USA
Drummond’s Island,46.0200211,-83.7311138,Drummond’s Island,Drummond MI 49726 USA
Eagle Point,-43.0104107,147.8431827,Eagle Point Tasmania,Eagle Point Tasmania
East Cape,-38.662334,178.017649,East Cape,Gisborne New Zealand
Elbow Island,26.52594,-76.9686267,Elbow Island,Elbow Cay The Bahamas
Enderbury Island,-3.1272412,-171.0837442,Enderbury Island,Enderbury Island Kiribati
F?sus?sima Islands,34.777857,131.147985,Mishima Japan,Mishima Japan
Faial,38.5912552,-28.6964752,Faial,Faial Island 9900 Portugal
Faial Island,38.5912552,-28.6964752,Faial Island,Faial Island 9900 Portugal
Fairway Rock,65.6241371,-168.7396001,Fairway Rock,Fairway Rock
Falkland Islands,-51.796253,-59.523613,Falkland Islands,FIQQ 1ZZ Falkland Islands (Islas Malvinas)
Fayal,38.5912552,-28.6964752,Fayal,Faial Island 9900 Portugal
Fayal & Pico (Azores),38.4580494,-28.3228165,Fayal & Pico (Azores),Pico Island Portugal
Felixstav,51.961726,1.351255,Felixstav,Felixstowe UK
Flores,-34.6374837,-58.4601452,Flores,Flores CABA Argentina
Flores & “Habo” (Azores),-34.6374837,-58.4601452,Flores & “Habo” (Azores),Flores & “Habo” (Azores)
Fogo Island,49.6498706,-54.1597515,Fogo Island,Fogo Island Region NL Canada
Fogo and Brava,14.8444438,-24.7024179,Fogo and Brava,Brava Cape Verde
Fogo and Brava,14.8444438,-24.7024179,Fogo and Brava,Brava Cape Verde
 Cape Verde,15.120142,-23.6051868,Cape Verde,Cape Verde
Fox Islands,53.6229253,-166.9730322,Fox Islands,Fox Islands Alaska USA
Francis Island,-67.6322712,-64.7457443,Francis Island,Francis Island Antarctica
French Rock,-15.85,-148.25,Makatea Fr Polonysia,Makatea Fr Polonysia
French Rock p. 225,-15.85,-148.25,Makatea Fr Polonysia,Makatea Fr Polonysia
Friendly Islands (Tonga),-20.0073435,-174.6533134,Friendly Islands (Tonga),Tonga Islands Tonga
Galapagos Islands,-0.9537691,-90.9656019,Galapagos Islands,Galápagos Islands Ecuador
Galapagos Islands,-0.9537691,-90.9656019,Galapagos Islands,Galápagos Islands Ecuador
Gillolo Island,1.3121235,128.4849923,Gillolo Island,Halmahera North Maluku Indonesia
Goat Island,-36.409791,174.85791,Goat Island New Zealand,Goat Island New Zealand
Gore Island,14.6678596,-17.3989282,Gore Island,Gorée Dakar Senegal
Gores Island,14.6678596,-17.3989282,Gore Island,Gorée Dakar Senegal
Graciosa Island,39.0524827,-28.0068979,Graciosa Island,Graciosa 9880 Portugal
Guadaloupe Island,29.0525203,-118.2760503,Guadaloupe Island,Guadalupe Island Baja California Mexico
Guadalupe,16.265,-61.551,Guadalupe,Guadeloupe
Guam,13.444304,144.793731,Guam,Guam
Gulf of Saghalin (Sakhalin),53.7951977,141.4453899,Gulf of Saghalin (Sakhalin),Sakhalinskiy zal. Russia
HJummock Island,41.117528,-73.34069,HJummock Island,100 Compo Mill Cv Westport CT 06880 United States
Hakodaddi Harbor,41.7687933,140.7288103,Hakodate Harbor,Hakodate Harbor
Hakodate,41.7687933,140.7288103,Hakodate,Hakodate Hokkaido Prefecture Japan
Harbour Island,25.50011,-76.6340511,Harbour Island,Harbor Island The Bahamas
Hawaii,19.8967662,-155.5827818,Hawaii,Hawaii USA
Hero Bay,,,,
Hilo,19.7070942,-155.0884869,Hilo,Hilo HI 96720 USA
Hog Island,-42.94,147.65,Hog Island Tasmania,Hog Island Tasmania
Hong Kong,22.396428,114.109497,Hong Kong,Hong Kong
Honolulu,21.3069444,-157.8583333,Honolulu,Honolulu HI USA
Hood’s Island,-1.3758424,-89.6722171,Hood’s Island,Española Island Ecuador
Hope Island,-27.8669,153.362,Hope Island,Hope Island QLD 4212 Australia
Huafo,-33.3744115,-70.6729764,Huafo,Huafo Conchalí Región Metropolitana Chile
Icy Cape,70.3297222,-161.8741667,Icy Cape,Icy Cape Alaska USA
Indian Ocean p. 29-33,,,,
Indian Point,,,,
Island of,,,,
Island of ?rustine,-37.116048,-12.3541879,Tristan da Cunha,Tristan da Cunha
